지역,업종,사업체규모,연차휴가부여,연차휴가사용,연령대,성별,학력,직업,월평균소득구간
11,2,6,15,0,30대,1,4,3,4
9,2,2,0,0,30대,2,2,3,3
13,7,5,15,0,30대,2,4,3,3
2,12,4,0,0,30대,2,4,3,3
1,5,6,0,0,20대,2,3,3,2
2,16,2,0,0,40대,2,2,3,2
9,15,2,0,0,20대,2,3,3,3
9,6,2,18,0,20대,1,2,5,2
2,9,5,15,15,30대,1,4,3,3
14,2,4,18,5,60대,1,2,7,3
15,13,6,10,5,30대,1,4,3,2
1,14,4,15,0,20대,2,3,2,2
1,12,6,15,12,40대,2,4,1,3
14,12,4,16,0,30대,2,4,3,4
1,6,6,14,10,30대,2,4,4,3
12,3,6,21,18,30대,2,4,3,4
1,16,6,16,10,30대,1,4,3,3
17,8,4,15,14,50대,2,4,4,5
3,16,4,0,0,40대,2,2,3,3
2,3,4,15,15,20대,1,4,3,4
1,13,6,12,0,30대,2,4,3,2
1,6,4,15,10,30대,1,4,3,2
14,12,3,17,7,30대,2,4,3,4
1,13,6,12,12,40대,2,4,3,2
12,8,2,0,0,40대,2,2,4,2
10,13,5,15,5,30대,2,4,3,3
16,10,2,11,5,20대,2,4,3,3
5,10,6,15,14,40대,1,4,5,4
16,13,5,15,7,20대,2,4,3,2
9,4,4,0,0,40대,1,2,7,3
4,8,2,0,0,40대,1,3,4,4
1,15,6,12,12,20대,1,4,3,2
10,12,4,11,11,30대,1,4,3,3
10,6,4,16,14,30대,1,3,4,3
1,9,6,18,13,50대,1,4,1,5
2,6,5,18,15,30대,2,4,4,2
2,16,2,15,15,20대,2,4,4,3
16,9,4,21,8,20대,1,4,3,3
15,13,5,16,16,30대,1,4,3,2
1,9,5,20,0,30대,2,4,3,3
1,14,5,18,10,40대,2,4,4,3
1,11,5,16,12,30대,1,4,3,3
5,11,5,13,10,30대,2,3,3,2
17,7,2,0,0,40대,2,2,3,2
1,11,5,12,2,30대,2,4,3,4
9,15,2,13,13,40대,1,4,4,3
6,16,3,18,10,40대,1,4,4,2
1,9,5,20,20,40대,1,4,3,3
1,9,4,12,12,20대,1,3,3,3
13,10,4,25,4,40대,2,2,3,5
11,1,2,22,10,30대,2,4,3,4
9,2,5,16,0,30대,2,4,3,3
1,13,2,15,15,20대,2,4,3,3
16,15,3,17,12,40대,1,3,7,3
6,2,3,0,0,50대,1,2,7,2
10,10,3,15,15,30대,1,4,3,4
1,9,5,15,0,30대,1,2,3,3
1,16,4,13,8,30대,1,4,3,3
10,5,6,0,0,50대,1,4,1,3
5,14,2,15,3,40대,2,3,4,3
16,16,5,15,2,20대,1,4,3,2
10,11,2,15,0,60대,1,2,9,2
11,4,2,11,3,30대,1,3,3,4
9,15,3,18,11,30대,2,4,3,3
14,1,3,20,0,40대,2,4,3,3
13,5,2,0,0,30대,2,4,7,2
2,8,5,15,0,50대,2,2,4,4
11,3,5,12,8,30대,1,3,3,4
1,14,3,16,7,30대,2,4,3,5
5,12,6,16,16,50대,2,3,1,5
9,3,5,15,15,20대,1,4,3,4
12,1,4,0,0,20대,1,4,3,2
12,8,2,0,0,40대,2,2,4,3
6,7,5,17,15,30대,1,4,3,3
15,13,3,16,8,30대,1,3,3,3
16,5,4,23,7,40대,1,2,3,3
10,1,6,15,15,30대,1,3,3,3
9,12,2,10,10,30대,2,4,3,3
9,2,5,17,17,30대,1,4,3,4
15,14,2,0,0,20대,2,4,3,2
9,7,4,10,10,20대,1,2,3,2
1,4,6,13,0,20대,2,4,4,5
13,9,2,15,13,30대,2,4,3,3
1,11,6,0,0,30대,2,3,3,3
5,2,2,12,11,20대,1,3,8,3
16,8,3,0,0,40대,2,4,4,4
16,13,5,18,8,40대,1,4,3,3
12,2,6,16,0,30대,1,4,3,4
11,12,5,15,12,40대,2,3,1,3
16,5,6,15,0,30대,1,4,3,2
3,16,5,20,15,60대,2,4,3,4
11,15,2,17,8,30대,1,4,7,3
11,2,6,16,9,20대,1,2,7,3
9,6,2,0,0,20대,2,3,3,2
3,14,3,15,6,40대,2,4,2,3
12,6,5,13,8,20대,2,4,5,2
11,15,4,14,13,30대,2,4,3,5
7,12,3,10,10,30대,1,4,8,4
2,2,6,16,14,30대,1,4,7,2
1,11,6,13,8,30대,1,4,3,3
9,12,4,19,19,40대,2,4,1,5
2,2,6,16,13,20대,2,3,3,3
3,3,5,21,0,30대,2,4,2,3
13,12,3,15,15,20대,1,4,3,3
1,14,2,15,15,30대,2,4,3,4
12,3,4,15,15,20대,2,4,3,3
2,13,2,11,8,30대,2,4,3,2
3,16,5,20,19,50대,1,2,4,4
6,16,2,0,0,20대,2,2,4,3
12,12,4,15,15,30대,2,3,3,3
4,7,5,16,15,30대,2,4,3,3
12,1,2,15,0,60대,1,2,7,3
2,8,3,13,0,20대,1,4,4,2
1,6,3,12,5,40대,1,4,3,4
2,8,3,12,9,40대,2,3,4,3
9,6,4,18,8,30대,1,4,3,3
13,10,2,15,0,20대,2,4,3,3
3,13,3,12,3,30대,2,2,3,3
1,6,2,0,0,20대,2,4,4,2
14,10,4,12,12,40대,2,2,3,3
2,2,6,25,11,50대,1,1,8,4
1,16,5,16,16,40대,2,2,4,3
1,9,6,16,0,40대,1,4,3,3
1,9,6,15,15,50대,2,3,1,4
16,12,4,21,21,30대,2,4,3,4
1,7,2,16,16,20대,2,4,3,3
6,12,6,0,0,30대,2,4,3,3
6,8,2,0,0,50대,1,4,4,4
10,5,6,0,0,50대,1,2,7,4
12,2,4,13,10,30대,2,2,3,3
16,8,2,0,0,40대,2,2,4,2
1,10,5,16,5,30대,2,4,3,3
1,12,3,15,10,30대,1,4,3,3
16,10,3,11,8,20대,1,4,3,3
1,10,4,15,5,20대,1,4,3,3
16,7,5,16,10,20대,2,4,3,4
16,11,2,15,14,40대,1,4,1,5
16,5,6,16,0,20대,2,4,3,2
12,8,2,0,0,20대,1,2,4,3
2,14,3,21,14,30대,2,3,5,2
3,16,5,20,8,30대,1,3,7,3
6,12,3,13,13,20대,1,3,3,3
2,16,2,0,0,40대,2,4,3,6
1,9,5,15,15,20대,2,4,3,2
1,16,6,18,12,20대,1,3,3,3
16,10,5,18,16,50대,2,4,2,5
1,10,3,15,0,30대,1,4,3,3
17,11,4,23,4,30대,1,3,3,3
1,13,6,12,12,20대,2,4,3,3
16,10,3,16,16,30대,1,4,3,3
1,10,5,15,15,40대,2,4,4,4
1,14,4,21,10,20대,2,3,3,2
1,6,3,17,10,30대,1,4,3,3
3,16,2,21,15,20대,2,4,3,4
2,7,6,21,18,20대,2,4,3,2
9,8,2,0,0,30대,1,2,4,4
8,3,6,15,12,30대,2,4,3,3
3,2,2,12,0,20대,2,3,3,2
9,11,2,16,0,40대,2,4,3,3
9,2,5,8,6,30대,2,4,3,3
8,3,6,18,18,40대,1,4,3,4
15,13,3,16,16,50대,1,4,4,4
5,13,6,0,0,50대,2,4,1,5
6,7,6,20,20,50대,1,2,7,3
14,2,4,18,8,30대,2,4,3,3
16,14,4,15,15,40대,2,3,3,2
15,2,2,0,0,30대,1,4,5,3
1,14,4,15,10,20대,2,4,2,3
1,6,2,12,9,20대,2,4,5,3
4,6,2,14,14,30대,1,3,5,3
1,7,4,15,0,20대,2,2,3,97
2,7,6,16,7,50대,2,2,1,3
17,11,2,15,15,40대,2,2,3,2
